jurisdiction,metric,year,value,confidence,notes
new-york-city,capital_investment,2015,9900498000,high,"NYC Comptroller ACFR, Notes to Financial Statements, Note 2 'Capital Assets,' governmental-activities capital asset Additions (Land + Construction-in-progress + Buildings + Equipment + Infrastructure), FY2015."
new-york-city,capital_investment,2016,7706337000,high,"Same source/methodology as 2015, FY2016 ACFR."
new-york-city,capital_investment,2017,9163799000,high,"Same source/methodology as 2015, FY2017 ACFR."
new-york-city,capital_investment,2018,9250029000,high,"Same source/methodology as 2015, FY2018 ACFR."
new-york-city,capital_investment,2019,10432050000,high,"Same source/methodology as 2015, FY2019 ACFR."
new-york-city,capital_investment,2020,9235294000,high,"Same source/methodology as 2015, FY2020 ACFR."
new-york-city,capital_investment,2021,9075676000,high,"Same source/methodology as 2015, FY2021 ACFR."
new-york-city,capital_investment,2022,9613267000,high,"Same source/methodology as 2015, FY2022 ACFR. Excludes a one-time $26.45B GASB 87 lease-asset recognition that year (a new-accounting-standard non-cash reclassification, not real new capital spending)."
new-york-city,capital_investment,2023,13066850000,high,"NYC Comptroller ACFR, Note 2 'Capital Assets,' FY2023. Excludes a one-time $18.03B GASB 87 lease-asset recognition and $13.3M GASB 96 subscription-asset addition that year. This resolves a figure the project previously flagged and declined to import ($30.3B, from the FY2024 ACFR's comparative prior-year column) -- that anomalous figure was the unadjusted total including the one-time GASB 87 lease-asset recognition; this row's core-additions figure is consistent with the surrounding years."
new-york-city,capital_investment,2024,14163141000,high,"NYC Comptroller ACFR, Note 2 'Capital Assets,' FY2024. Excludes $0.78B lease-asset and $1.0M subscription-asset additions. SUPERSEDES a previously-imported value of $9,946,942,000 for this year, which used a different accounting concept (government-wide 'Purchases of capital assets' from the Reconciliation of Governmental Funds to the Statement of Activities) -- this row uses the Capital Assets note's Additions figure instead, for consistency with the rest of this series, which is now built from one source/methodology across all 11 years."
new-york-city,capital_investment,2025,13700782000,high,"NYC Comptroller ACFR, Note 2 'Capital Assets,' FY2025. Excludes $0.24B lease-asset and $3.4M subscription-asset additions. SUPERSEDES a previously-imported value of $9,659,615,000 for the same reason as 2024."
