jurisdiction,metric,year,value,confidence,notes
new-york-city,pension_funding_ratio,2015,72.4,medium,"Mandate-computed aggregate across NYC's 5 actuarial pension systems (NYCERS, TRS, BERS, POLICE, FIRE), FY2015 (year ended Jun 30, 2015): NYCERS 73.13%, TRS 68.04%, BERS 75.33%, POLICE 73.85%, FIRE 62.79%. NYC's Comptroller publishes no single blended figure; this year's schedule format (pre-dating later 10-year trend schedules) reports POLICE/FIRE on a single-employer basis and NYCERS/TRS/BERS via 'City's proportionate share' cost-sharing tables, which could not be dollar-weighted the same way as 2016+ (see 2016 note) -- this row is an unweighted average of the 5 systems' individual ratios. Source: The City of New York Comprehensive Annual Financial Report, Fiscal Year Ended June 30, 2015, RSI Part II-B, Schedules A & B. Assumed investment return: 7.0%."
new-york-city,pension_funding_ratio,2016,66.17,medium,"Mandate-computed, dollar-weighted aggregate (sum of each system's Plan Fiduciary Net Position / sum of Total Pension Liability across all 5 systems) for FY2016: NYCERS 69.57%, TRS 62.33%, BERS 71.17%, POLICE 69.42%, FIRE 56.86%. Source: each system's own 'Combining Financial Statements,' Schedule 1 ('Schedule of Changes in the Employer's Net Pension Liability and Related Ratios'), NYC Office of the Comptroller. Assumed investment return: 7.0%."
new-york-city,pension_funding_ratio,2017,71.73,medium,"Same source/methodology as 2016, FY2017: NYCERS 74.80%, TRS 68.32%, BERS 80.81%, POLICE 75.19%, FIRE 60.95%."
new-york-city,pension_funding_ratio,2018,76.45,medium,"Same source/methodology as 2016, FY2018: NYCERS 78.83%, TRS 74.45%, BERS 90.31%, POLICE 79.03%, FIRE 64.45%."
new-york-city,pension_funding_ratio,2019,78.72,medium,"Same source/methodology as 2016, FY2019: NYCERS 78.84%, TRS 79.06%, BERS 94.79%, POLICE 81.13%, FIRE 65.36%."
new-york-city,pension_funding_ratio,2020,77.85,medium,"Same source/methodology as 2016, FY2020: NYCERS 76.93%, TRS 78.97%, BERS 94.92%, POLICE 82.17%, FIRE 66.15%."
new-york-city,pension_funding_ratio,2021,95.33,medium,"Same source/methodology as 2016, FY2021: NYCERS 93.14%, TRS 99.91%, BERS 121.96%, POLICE 96.56%, FIRE 79.98%. This year's sharp jump across all 5 systems reflects strong FY2021 investment returns City-wide, not a change in actuarial assumptions."
new-york-city,pension_funding_ratio,2022,81.34,medium,"Same source/methodology as 2016, FY2022: NYCERS 81.28%, TRS 81.30%, BERS 97.93%, POLICE 84.21%, FIRE 70.97%."
new-york-city,pension_funding_ratio,2023,82.79,medium,"Same source/methodology as 2016, FY2023: NYCERS 82.22%, TRS 83.24%, BERS 98.83%, POLICE 85.76%, FIRE 72.80%."
new-york-city,pension_funding_ratio,2024,85.33,medium,"Same source/methodology as 2016, FY2024: NYCERS 84.25%, TRS 85.71%, BERS 97.43%, POLICE 89.29%, FIRE 75.79%. SUPERSEDES a previously-imported value of 83.8% for this year, which was an unweighted average of the same 5 systems' ratios rather than a dollar-weighted one, and used a different valuation-date-to-fiscal-year mapping; this row is directly sourced from each system's own FY2025 Combining Financial Statements' 10-year Schedule 1 trend table rather than each system's standalone Actuarial Valuation Report."
new-york-city,pension_funding_ratio,2025,89.09,medium,"Same source/methodology as 2016, FY2025: NYCERS 87.66%, TRS 90.44%, BERS 102.56%, POLICE 92.19%, FIRE 79.39%."
