jurisdiction,metric,year,value,confidence,notes
chicago,homelessness_count,2015,6786,high,"Total PIT count (sheltered + unsheltered), per Appendix B trend table in the 2025 PIT Report."
chicago,homelessness_count,2016,5889,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report."
chicago,homelessness_count,2017,5696,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report (supersedes the 5,657 figure originally published in the contemporaneous 2017 report; later reports revise prior years for methodology consistency)."
chicago,homelessness_count,2018,5450,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report."
chicago,homelessness_count,2019,5290,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report."
chicago,homelessness_count,2020,5390,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report."
chicago,homelessness_count,2021,4477,high,"Total PIT count, per Appendix B trend table in the 2025 PIT Report (supersedes the 4,447 figure originally published in the contemporaneous 2021 report)."
chicago,homelessness_count,2022,3875,high,"Chicago Point-in-Time Count & Survey Report (IL-510 Continuum of Care), City of Chicago Dept. of Family and Support Services."
chicago,homelessness_count,2023,6139,high,"Chicago PIT Count; the year-over-year jump is largely attributable to 2,176 newly arrived asylum seekers in city shelter, a real one-time methodological/compositional discontinuity, not a data error."
chicago,homelessness_count,2024,18836,high,"Total PIT count including New Arrivals subpopulation (17,202 sheltered + 1,634 unsheltered); the large jump from 2023 reflects continued asylum-seeker arrivals in city shelter, a real compositional shift, not a data error."
chicago,homelessness_count,2025,7452,high,"Total PIT count (6,136 sheltered + 1,316 unsheltered); the drop from 2024 reflects resettlement/outmigration of New Arrivals from city shelters during 2025."
chicago,housing_permits_issued,2015,750,high,"Residential buildings authorized by permit in 2015: 1-unit=503, 2-unit=29, 3-4 unit=102, 5+ unit=116. Source: U.S. Census Bureau, Building Permits Survey, place-level annual data."
chicago,housing_permits_issued,2016,951,high,"Residential buildings authorized by permit in 2016: 1-unit=613, 2-unit=36, 3-4 unit=131, 5+ unit=171. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2017,916,high,"Residential buildings authorized by permit in 2017: 1-unit=525, 2-unit=39, 3-4 unit=181, 5+ unit=171. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2018,813,high,"Residential buildings authorized by permit in 2018: 1-unit=439, 2-unit=48, 3-4 unit=143, 5+ unit=183. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2019,777,high,"Residential buildings authorized by permit in 2019: 1-unit=410, 2-unit=57, 3-4 unit=182, 5+ unit=128. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2020,468,high,"Residential buildings authorized by permit in 2020: 1-unit=248, 2-unit=30, 3-4 unit=83, 5+ unit=107. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2021,703,high,"Residential buildings authorized by permit in 2021: 1-unit=414, 2-unit=42, 3-4 unit=156, 5+ unit=91. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2022,746,high,"Residential buildings authorized by permit in 2022: 1-unit=412, 2-unit=55, 3-4 unit=159, 5+ unit=120. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2023,536,high,"Residential buildings authorized by permit in 2023: 1-unit=290, 2-unit=49, 3-4 unit=105, 5+ unit=92. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2024,611,high,"Residential buildings authorized by permit in 2024: 1-unit=325, 2-unit=66, 3-4 unit=105, 5+ unit=115. U.S. Census Bureau, Building Permits Survey."
chicago,housing_permits_issued,2025,708,high,"Residential buildings authorized by permit in 2025: 1-unit=371, 2-unit=84, 3-4 unit=150, 5+ unit=103. U.S. Census Bureau, Building Permits Survey."
chicago,housing_starts,,,,"TODO: No clean official city-level 'starts' series exists; if used, document BPS permits as an explicit proxy rather than true starts."
chicago,housing_completions,,,,"TODO: Chicago Department of Housing or Chicago Data Portal permit/completions series."
chicago,affordable_housing_completions,2015,1230,estimated,"Bar height read from DOH Annual Report 'Total units produced per year' chart (2022 edition, p. 16); no exact digits published. Rounded to nearest 10."
chicago,affordable_housing_completions,2016,1240,estimated,"Bar height read from DOH Annual Report chart, p. 16. Rounded to nearest 10."
