jurisdiction,metric,year,value,confidence,notes
minneapolis,tech_employment,2015,39751,high,"BLS QCEW Open Data API, Hennepin County MN (area 27053), private ownership, NAICS 51 (Information) + 5415 (Computer Systems Design), summed -- same composite/geography/methodology as the existing 2024 real value in this series (reproduced 2024's exact value from the raw API, confirming the convention). No suppression in any year 2015-2025."
minneapolis,tech_employment,2016,40069,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2017,40173,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2018,40384,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2019,39374,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2020,38595,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2021,38938,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2022,39311,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2023,37535,high,"Same source/methodology as 2015."
minneapolis,tech_employment,2025,33495,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2015,14273,high,"BLS QCEW Open Data API, Hennepin County MN (area 27053), private ownership, NAICS 3391 (Medical Equipment/Supplies Mfg) + 3254 (Pharma/Medicine Mfg) + 5417 (Scientific R&D), summed -- same composite/geography/methodology as the existing 2024 real value in this series (reproduced 2024's exact value from the raw API). No suppression in any year 2015-2025. Minneapolis-St. Paul has a significant medical device industry (Medtronic HQ) reflected in the NAICS 3391 component."
minneapolis,life_sciences_employment,2016,14309,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2017,15054,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2018,15524,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2019,16301,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2020,17026,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2021,16731,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2022,17458,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2023,18235,high,"Same source/methodology as 2015."
minneapolis,life_sciences_employment,2025,17468,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2015,29676,high,"BLS QCEW Open Data API, Hennepin County MN (area 27053), private ownership, NAICS 334 (Computer/Electronic Product Mfg) + 3391 (Medical Equipment/Supplies Mfg) + 3254 (Pharma/Medicine Mfg) + 325 (Chemical Mfg), summed -- same composite/geography/methodology as the existing 2024 real value in this series (reproduced 2024's exact value from the raw API). No suppression in any year 2015-2025."
minneapolis,advanced_manufacturing_employment,2016,29569,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2017,29656,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2018,29849,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2019,30836,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2020,31034,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2021,30031,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2022,31277,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2023,31872,high,"Same source/methodology as 2015."
minneapolis,advanced_manufacturing_employment,2025,31073,high,"Same source/methodology as 2015."
