jurisdiction,metric,year,value,confidence,notes
chicago,violent_crime_rate,2016,1113,estimated,"Violent count 30,221 / population 2,716,297 x 100,000. Source: CPD 2017 Annual Report (2016 column). Population figure from a secondary Census-PEP aggregator, not independently re-verified against the official Census release."
chicago,violent_crime_rate,2017,1098,estimated,"Violent count 29,753 / population 2,710,456 x 100,000. Source: CPD 2017 Annual Report (own-year column). Population unverified, see 2016 note."
chicago,violent_crime_rate,2018,1015,estimated,"Violent count 27,402 / population 2,700,968 x 100,000. Source: CPD 2018 Annual Report. Population unverified, see 2016 note."
chicago,violent_crime_rate,2019,949,estimated,"Violent count 25,532 / population 2,691,497 x 100,000. Source: CPD 2019 Annual Report. Population unverified, see 2016 note."
chicago,violent_crime_rate,2020,899,estimated,"Violent count 24,633 / population 2,741,640 x 100,000. Source: CPD 2021 Annual Report (2020 column). Population unverified, see 2016 note."
chicago,violent_crime_rate,2021,960,estimated,"Violent count 25,979 / population 2,705,934 x 100,000. Source: CPD 2021 Annual Report. Chicago transitioned to NIBRS-only reporting mid-2021; CPD's own count is used rather than the FBI-relayed figure. Population unverified, see 2016 note."
chicago,violent_crime_rate,2022,982,estimated,"Violent count 26,334 / population 2,680,609 x 100,000. Source: CPD 2022 Annual Report. FBI's state-relayed NIBRS pipeline under-reported Chicago Aggravated Assault 2022-early 2025; CPD's own count used instead. Population unverified, see 2016 note."
chicago,violent_crime_rate,2023,1090,estimated,"Violent count 29,416 / population 2,698,758 x 100,000. Source: CPD 2023 Annual Report. Same NIBRS under-reporting caveat as 2022. Population unverified, see 2016 note."
chicago,violent_crime_rate,2024,1015,estimated,"Violent count 27,670 / population 2,726,332 x 100,000. Source: CPD 2024 Annual Report. Same NIBRS under-reporting caveat as 2022. Population unverified, see 2016 note."
chicago,violent_crime_rate,2025,801,estimated,"Violent count 21,882 / population 2,731,585 x 100,000. Source: CPD 2025 Annual Report (published June 2026). Population unverified, see 2016 note."
chicago,property_crime_rate,2016,3208,estimated,"Property count 87,151 / population 2,716,297 x 100,000. Source: CPD 2017 Annual Report (2016 column). Population unverified, see violent_crime_rate 2016 note."
chicago,property_crime_rate,2017,3266,estimated,"Property count 88,528 / population 2,710,456 x 100,000. Source: CPD 2017 Annual Report (own-year column). Population unverified."
chicago,property_crime_rate,2018,3212,estimated,"Property count 86,744 / population 2,700,968 x 100,000. Source: CPD 2018 Annual Report. Population unverified."
chicago,property_crime_rate,2019,3000,estimated,"Property count 80,742 / population 2,691,497 x 100,000. Source: CPD 2019 Annual Report. Population unverified."
chicago,property_crime_rate,2020,2187,estimated,"Property count 59,971 / population 2,741,640 x 100,000. Source: CPD 2021 Annual Report (2020 column). Population unverified."
chicago,property_crime_rate,2021,2136,estimated,"Property count 57,804 / population 2,705,934 x 100,000. Source: CPD 2021 Annual Report. Population unverified."
chicago,property_crime_rate,2022,3122,estimated,"Property count 83,691 / population 2,680,609 x 100,000. Source: CPD 2022 Annual Report. Population unverified."
chicago,property_crime_rate,2023,3478,estimated,"Property count 93,874 / population 2,698,758 x 100,000. Source: CPD 2023 Annual Report. Population unverified."
chicago,property_crime_rate,2024,3316,estimated,"Property count 90,402 / population 2,726,332 x 100,000. Source: CPD 2024 Annual Report. Population unverified."
chicago,property_crime_rate,2025,3005,estimated,"Property count 82,095 / population 2,731,585 x 100,000. Source: CPD 2025 Annual Report (published June 2026). Population unverified."
