jurisdiction,metric,year,value,confidence,notes
chicago,clearance_rate,2016,21.4,medium,"CPD Annual Report (2017 edition), 'Index Crime Clearances' table, own-year figure: 5,840 cleared of 27,328 violent incidents (Murder/Criminal Sexual Assault/Robbery/Aggravated Assault/Aggravated Battery). Counts only incidents cleared in the SAME calendar year -- a stricter basis than 2017 onward (see source methodology); no later restatement of 2016 exists to convert it to the cumulative basis."
chicago,clearance_rate,2017,29.4,high,"CPD Annual Report (2018 edition), 'Index Crime Clearances' table, RESTATED 2017 figure: 8,033 cleared of 27,345 violent incidents. Uses the cumulative clearance-by-report-date basis matching 2018 onward, for methodology consistency -- the 2017 Annual Report's own same-year figure for this year was lower (6,310/27,087 = 23.3%), a genuine CPD methodology break, not a data error."
chicago,clearance_rate,2018,33.1,high,"CPD Annual Report (2018 edition), 'Index Crime Clearances' table: 8,242 cleared of 24,897 violent incidents."
chicago,clearance_rate,2019,40.9,high,"CPD Annual Report (2019 edition), 'Index Crime Clearances' table: 9,450 cleared of 23,104 violent incidents."
chicago,clearance_rate,2020,32.3,high,"CPD Annual Report (2021 edition), 'Index Crime Clearances' table, 2020 column: 7,966 cleared of 24,633 violent incidents. The 2020 Annual Report itself only gives a homicide-only clearance narrative, not the full violent-crime table."
chicago,clearance_rate,2021,28.3,high,"CPD Annual Report (2021 edition), 'Index Crime Clearances' table: 7,348 cleared of 25,979 violent incidents."
chicago,clearance_rate,2022,26.9,high,"CPD Annual Report (2022 edition), 'Index Crime Clearances' table: 7,081 cleared of 26,334 violent incidents. SUPERSEDES a previously-imported value of 50.79, which was actually CPD's homicide-only clearance rate (from a separate 'Year in Review' press release), not the violent-crime-scoped rate this metric definition calls for. Incident total (26,334) matches Mandate's existing violent_crime_rate CSV notes for this year exactly."
chicago,clearance_rate,2023,29.1,high,"CPD Annual Report (2023 edition), 'Index Crime Clearances' table: 8,559 cleared of 29,416 violent incidents. SUPERSEDES a previously-imported homicide-only value of 51.70. Incident total (29,416) matches Mandate's existing violent_crime_rate CSV notes exactly."
chicago,clearance_rate,2024,32.4,high,"CPD Annual Report (2024 edition), 'Index Crime Clearances' table: 8,965 cleared of 27,670 violent incidents. SUPERSEDES a previously-imported homicide-only value of 56.0. Incident total (27,670) matches Mandate's existing violent_crime_rate CSV notes exactly."
chicago,clearance_rate,2025,38.2,high,"CPD Annual Report (2025 edition), 'Index Crime Clearances' table: 8,357 cleared of 21,882 violent incidents. Incident total (21,882) matches Mandate's existing violent_crime_rate CSV notes exactly."
