jurisdiction,metric,year,value,confidence,notes
greater-manchester,violent_crime_rate,2015-16,1909,high,"ONS 'Crime in England and Wales: Police Force Area data tables,' Greater Manchester row, Violence against the person, converted from the source's per-1,000-population rate (19.09) to per-100,000 to match Mandate's metric definition."
greater-manchester,violent_crime_rate,2016-17,2414,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 24.14 per 1,000."
greater-manchester,violent_crime_rate,2017-18,3388,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 33.88 per 1,000."
greater-manchester,violent_crime_rate,2018-19,3511,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 35.11 per 1,000."
greater-manchester,violent_crime_rate,2020-21,3499,medium,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 34.99 per 1,000. YE March 2020 is deliberately omitted: ONS suppresses GM's row that year due to a GMP IT-migration data gap (July 2019-March 2020)."
greater-manchester,violent_crime_rate,2021-22,4730,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 47.30 per 1,000."
greater-manchester,violent_crime_rate,2022-23,4919,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 49.19 per 1,000."
greater-manchester,violent_crime_rate,2023-24,4557,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 45.57 per 1,000."
greater-manchester,violent_crime_rate,2024-25,4242,high,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 42.42 per 1,000."
greater-manchester,violent_crime_rate,2025-26,4175,medium,"ONS PFA data tables, Greater Manchester row, Violence against the person, converted from 41.75 per 1,000. Most recent year of a live series; subject to future revision."
greater-manchester,property_crime_rate,2015-16,5255,high,"ONS PFA data tables, Greater Manchester row. Sum of Theft offences + Robbery + Criminal damage and arson (mutually exclusive offence groups, verified to sum to the published Total recorded crime rate), converted from 52.55 per 1,000."
greater-manchester,property_crime_rate,2016-17,5668,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 56.68 per 1,000."
greater-manchester,property_crime_rate,2017-18,6135,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 61.35 per 1,000."
greater-manchester,property_crime_rate,2018-19,5905,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 59.05 per 1,000."
greater-manchester,property_crime_rate,2020-21,3980,medium,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 39.80 per 1,000. YE March 2020 omitted for the same GMP IT-migration data gap as violent_crime_rate."
greater-manchester,property_crime_rate,2021-22,4760,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 47.60 per 1,000."
greater-manchester,property_crime_rate,2022-23,4936,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 49.36 per 1,000."
greater-manchester,property_crime_rate,2023-24,4472,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 44.72 per 1,000."
greater-manchester,property_crime_rate,2024-25,3940,high,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 39.40 per 1,000."
greater-manchester,property_crime_rate,2025-26,3521,medium,"ONS PFA data tables, Greater Manchester row, same methodology, converted from 35.21 per 1,000. Most recent year of a live series; subject to future revision."
