jurisdiction,metric,year,value,confidence,notes
seattle,violent_crime_rate,2015,610.1,medium,"WASPC 'Crime in Washington 2015,' Seattle PD agency page: Murder+Rape+Robbery+Aggravated Assault (4,041 offenses) / population 662,400 (WA OFM estimate) x 100,000. Mandate-computed sum of WASPC's own per-offense rows -- not itself a single WASPC-published figure, hence 'estimated' quality."
seattle,violent_crime_rate,2016,614.9,medium,"WASPC 'Crime in Washington 2016,' same methodology: 4,223 offenses / population 686,800."
seattle,violent_crime_rate,2017,625.6,medium,"WASPC 'Crime in Washington 2017,' same methodology: 4,465 offenses / population 713,700."
seattle,violent_crime_rate,2018,696.3,medium,"WASPC 'Crime in Washington 2018,' same methodology: 5,086 offenses / population 730,400."
seattle,violent_crime_rate,2019,594.4,medium,"WASPC 'Crime in Washington 2019,' same methodology: 4,442 offenses / population 747,300."
seattle,violent_crime_rate,2020,639.1,medium,"WASPC 'Crime in Washington 2020,' same methodology: 4,864 offenses / population 761,100."
seattle,violent_crime_rate,2021,769.3,medium,"WASPC 'Crime in Washington 2021,' same methodology: 5,920 offenses / population 769,500."
seattle,violent_crime_rate,2022,803.0,medium,"WASPC 'Crime in Washington 2022,' same methodology: 6,123 offenses / population 762,500."
seattle,violent_crime_rate,2023,753.5,medium,"WASPC 'Crime in Washington 2023,' same methodology: 5,871 offenses / population 779,200."
seattle,violent_crime_rate,2024,756.7,medium,"WASPC 'Crime in Washington 2024,' same methodology: 6,036 offenses / population 797,700."
seattle,violent_crime_rate,2025,695.2,medium,"WASPC 'Crime in Washington 2025,' same methodology: 5,677 offenses / population 816,600."
seattle,property_crime_rate,2015,5682.1,medium,"WASPC 'Crime in Washington 2015': Burglary+Larceny-Theft+Motor Vehicle Theft (37,638 offenses) / population 662,400 x 100,000. Mandate-computed sum, 'estimated' quality per the same convention as violent_crime_rate."
seattle,property_crime_rate,2016,5642.5,medium,"WASPC 'Crime in Washington 2016,' same methodology: 38,753 offenses / population 686,800."
seattle,property_crime_rate,2017,5347.8,medium,"WASPC 'Crime in Washington 2017,' same methodology: 38,167 offenses / population 713,700."
seattle,property_crime_rate,2018,5372.0,medium,"WASPC 'Crime in Washington 2018,' same methodology: 39,237 offenses / population 730,400."
seattle,property_crime_rate,2019,4640.4,medium,"WASPC 'Crime in Washington 2019,' same methodology: 34,678 offenses / population 747,300."
seattle,property_crime_rate,2020,5061.4,medium,"WASPC 'Crime in Washington 2020,' same methodology: 38,522 offenses / population 761,100."
seattle,property_crime_rate,2021,5476.2,medium,"WASPC 'Crime in Washington 2021,' same methodology: 42,139 offenses / population 769,500."
seattle,property_crime_rate,2022,5771.1,medium,"WASPC 'Crime in Washington 2022,' same methodology: 44,005 offenses / population 762,500."
seattle,property_crime_rate,2023,5211.2,medium,"WASPC 'Crime in Washington 2023,' same methodology: 40,606 offenses / population 779,200."
seattle,property_crime_rate,2024,5131.1,medium,"WASPC 'Crime in Washington 2024,' same methodology: 40,931 offenses / population 797,700."
seattle,property_crime_rate,2025,4446.1,medium,"WASPC 'Crime in Washington 2025,' same methodology: 36,307 offenses / population 816,600."
seattle,clearance_rate,2015,19.1,medium,"WASPC 'Crime in Washington 2015,' Seattle PD 'Percent Cleared,' ALL Group A offenses combined (not violent-crime-specific) -- 12,270 cleared / 64,184 total offenses. Imported at 'estimated' quality for this scope mismatch."
seattle,clearance_rate,2016,17.2,medium,"WASPC 'Crime in Washington 2016,' same all-offense methodology: 11,464 / 66,525."
seattle,clearance_rate,2017,17.2,medium,"WASPC 'Crime in Washington 2017,' same all-offense methodology: 11,571 / 67,427."
seattle,clearance_rate,2018,16.7,medium,"WASPC 'Crime in Washington 2018,' same all-offense methodology: 11,791 / 70,566."
seattle,clearance_rate,2019,14.1,medium,"WASPC 'Crime in Washington 2019,' same all-offense methodology: 8,727 / 61,690."
seattle,clearance_rate,2020,10.1,medium,"WASPC 'Crime in Washington 2020,' same all-offense methodology: 7,589 / 74,992."
seattle,clearance_rate,2021,10.0,medium,"WASPC 'Crime in Washington 2021,' same all-offense methodology: 7,085 / 70,949."
seattle,clearance_rate,2022,12.5,medium,"WASPC 'Crime in Washington 2022,' same all-offense methodology: 9,291 / 74,220."
seattle,clearance_rate,2023,12.4,medium,"WASPC 'Crime in Washington 2023,' same all-offense methodology: 8,750 / 70,748."
seattle,clearance_rate,2024,12.3,medium,"WASPC 'Crime in Washington 2024,' same all-offense methodology: 8,573 / 69,702."
seattle,clearance_rate,2025,13.4,medium,"WASPC 'Crime in Washington 2025,' same all-offense methodology: 8,685 / 64,994."
