jurisdiction,metric,year,value,confidence,notes
minneapolis,average_commute_minutes,2015,22.90,high,"Census ACS 1-Year Estimates, Table B08006/B08013, queried via DataUSA's Tesseract API (a public pass-through of the same official ACS tables, used because api.census.gov requires a registered API key in this research environment). Cross-validated against 3 independently-sourced existing repo rows (Chicago, NYC, Seattle) within +/-0.1 minute. Minneapolis city, MN (state 27, place 43000)."
minneapolis,average_commute_minutes,2016,22.36,high,"Same source/methodology as 2015."
minneapolis,average_commute_minutes,2017,23.45,high,"Same source/methodology as 2015."
minneapolis,average_commute_minutes,2018,23.52,high,"Same source/methodology as 2015."
minneapolis,average_commute_minutes,2019,24.13,high,"Same source/methodology as 2015."
minneapolis,average_commute_minutes,2021,22.11,high,"Same source/methodology as 2015. 2020 has no ACS 1-Year Estimate anywhere (confirmed COVID-era data-collection suspension, not a gap in this pull)."
minneapolis,average_commute_minutes,2022,22.08,high,"Same source/methodology as 2015."
minneapolis,average_commute_minutes,2023,20.96,high,"Same source/methodology as 2015."
minneapolis,active_transportation_mode_share,2015,12.53,high,"Census ACS 1-Year Estimates, Table B08301 (Means of Transportation to Work), Walked (7.53%) + Bicycle (5.00%) as a share of all workers 16+. Queried via DataUSA's Tesseract API, same caveat as average_commute_minutes. No combined 'active transportation' ACS category exists -- Walk+Bike is the standard decomposition."
minneapolis,active_transportation_mode_share,2016,10.93,high,"Same source/methodology as 2015 (Walked 7.27% + Bicycle 3.66%)."
minneapolis,active_transportation_mode_share,2017,10.42,high,"Same source/methodology as 2015 (Walked 6.53% + Bicycle 3.89%)."
minneapolis,active_transportation_mode_share,2018,11.01,high,"Same source/methodology as 2015 (Walked 7.60% + Bicycle 3.41%)."
minneapolis,active_transportation_mode_share,2019,11.61,high,"Same source/methodology as 2015 (Walked 7.67% + Bicycle 3.94%)."
minneapolis,active_transportation_mode_share,2021,6.50,high,"Same source/methodology as 2015 (Walked 4.77% + Bicycle 1.72%). 2020 has no ACS 1-Year Estimate (confirmed gap)."
minneapolis,active_transportation_mode_share,2022,7.63,high,"Same source/methodology as 2015 (Walked 5.58% + Bicycle 2.05%)."
minneapolis,active_transportation_mode_share,2023,7.78,high,"Same source/methodology as 2015 (Walked 6.01% + Bicycle 1.77%)."
minneapolis,active_transportation_mode_share,2024,9.85,high,"Same source/methodology as 2015 (Walked 7.24% + Bicycle 2.61%)."
