jurisdiction,metric,year,value,confidence,notes
minneapolis,public_transport_expansion_miles,2015,0,high,"No rail line opened this year. Southwest LRT (Green Line Extension) and Blue Line Extension (Bottineau) are both still under construction/pre-construction as of this research pass (2026-09-07) -- SWLRT substantially complete as of July 2026, targeting a 2027 opening; Blue Line Extension's mode itself is under legislative review (MN Legislature ordered Met Council in June 2025 to redo an alternatives analysis on rail vs. BRT)."
minneapolis,public_transport_expansion_miles,2016,0,medium,"No rail line opened. Metro Transit's A Line (arterial BRT) opened June 11, 2016 -- NOT counted as a dedicated corridor: arterial BRT lines (A/B/C/D/E) run largely in mixed traffic with signal priority and off-board fare payment, not an exclusive lane, consistent with how this project already excludes non-dedicated bus-priority infrastructure elsewhere (see Chicago's Belmont Flyover precedent, DC's DDOT bus-lane exclusions)."
minneapolis,public_transport_expansion_miles,2017,0,high,"No rail or qualifying BRT corridor opened this year."
minneapolis,public_transport_expansion_miles,2018,0,high,"No rail or qualifying BRT corridor opened this year."
minneapolis,public_transport_expansion_miles,2019,0,medium,"No rail line opened. C Line (arterial BRT) opened June 8, 2019 -- not counted, same reasoning as the A Line (2016)."
minneapolis,public_transport_expansion_miles,2020,0,high,"No rail or qualifying BRT corridor opened this year."
minneapolis,public_transport_expansion_miles,2021,0,low,"No rail line opened. Orange Line (highway BRT, 17mi, I-35W) opened Dec 4, 2021 -- NOT counted here, but this is the single most genuinely ambiguous judgment call in this series: unlike arterial BRT (A/B/C/D/E), Orange Line has PARTIAL dedicated/HOT-lane running way, closer to meeting a 'dedicated corridor' definition. Flagged explicitly for methodology-lead reconsideration rather than confidently excluded like the arterial BRT lines."
minneapolis,public_transport_expansion_miles,2022,0,high,"No rail line opened. D Line (arterial BRT) opened Dec 3, 2022 -- not counted, same reasoning as the A Line (2016)."
minneapolis,public_transport_expansion_miles,2023,0,high,"No rail or qualifying BRT corridor opened this year."
minneapolis,public_transport_expansion_miles,2024,0,high,"No rail or qualifying BRT corridor opened this year."
minneapolis,public_transport_expansion_miles,2025,0,medium,"No rail line opened. B Line (12.6mi, Jun 14 2025) and E Line (13.3mi, Dec 6 2025) arterial BRT both opened -- not counted, same reasoning as the A Line (2016)."
