jurisdiction,metric,year,value,confidence,notes
new-york-city,average_commute_minutes,2015,40.83,high,"Census ACS 1-Year Estimates, Table B08006/B08013 (aggregate commute minutes / commuting workers 16+ who didn't work from home), queried via DataUSA's Tesseract API (a public pass-through of the same official ACS tables, used because api.census.gov requires a registered API key in this research environment). Cross-validated against 3 independently-sourced existing repo rows (Chicago, NYC, Seattle) within +/-0.1 minute. New York city, NY (state 36, place 51000), same single-place convention this repo already uses for NYC ACS metrics."
new-york-city,average_commute_minutes,2016,41.37,high,"Same source/methodology as 2015."
new-york-city,average_commute_minutes,2017,41.80,high,"Same source/methodology as 2015."
new-york-city,average_commute_minutes,2018,42.00,high,"Same source/methodology as 2015."
new-york-city,average_commute_minutes,2019,41.72,high,"Same source/methodology as 2015."
new-york-city,average_commute_minutes,2021,39.82,high,"Same source/methodology as 2015. 2020 has no ACS 1-Year Estimate anywhere (confirmed COVID-era data-collection suspension, not a gap in this pull)."
new-york-city,average_commute_minutes,2022,40.66,high,"Same source/methodology as 2015."
new-york-city,average_commute_minutes,2023,40.12,high,"Same source/methodology as 2015."
new-york-city,active_transportation_mode_share,2015,11.25,high,"Census ACS 1-Year Estimates, Table B08301 (Means of Transportation to Work), Walked (10.10%) + Bicycle (1.15%) as a share of all workers 16+ (denominator includes work-from-home workers). Queried via DataUSA's Tesseract API, same caveat as average_commute_minutes. No combined 'active transportation' ACS category exists -- Walk+Bike is the standard decomposition; DP03 alone can't be used since it lumps Bicycle into 'Other means.'"
new-york-city,active_transportation_mode_share,2016,11.08,high,"Same source/methodology as 2015 (Walked 9.86% + Bicycle 1.21%)."
new-york-city,active_transportation_mode_share,2017,11.37,high,"Same source/methodology as 2015 (Walked 10.10% + Bicycle 1.27%)."
new-york-city,active_transportation_mode_share,2018,10.91,high,"Same source/methodology as 2015 (Walked 9.60% + Bicycle 1.31%)."
new-york-city,active_transportation_mode_share,2019,11.65,high,"Same source/methodology as 2015 (Walked 10.31% + Bicycle 1.34%)."
new-york-city,active_transportation_mode_share,2021,10.53,high,"Same source/methodology as 2015 (Walked 9.02% + Bicycle 1.51%). 2020 has no ACS 1-Year Estimate (confirmed gap)."
new-york-city,active_transportation_mode_share,2022,10.88,high,"Same source/methodology as 2015 (Walked 9.19% + Bicycle 1.68%)."
new-york-city,active_transportation_mode_share,2023,11.04,high,"Same source/methodology as 2015 (Walked 9.47% + Bicycle 1.57%)."
