jurisdiction,metric,year,value,confidence,notes
seattle,average_commute_minutes,2015,27.34,high,"Census ACS 1-Year Estimates, Table B08006/B08013, queried via DataUSA's Tesseract API (a public pass-through of the same official ACS tables, used because api.census.gov requires a registered API key in this research environment). Cross-validated against 3 independently-sourced existing repo rows (Chicago, NYC, Seattle) within +/-0.1 minute. Seattle city, WA (state 53, place 63000)."
seattle,average_commute_minutes,2016,27.70,high,"Same source/methodology as 2015."
seattle,average_commute_minutes,2017,28.27,high,"Same source/methodology as 2015."
seattle,average_commute_minutes,2018,28.39,high,"Same source/methodology as 2015."
seattle,average_commute_minutes,2019,28.38,high,"Same source/methodology as 2015."
seattle,average_commute_minutes,2021,26.27,high,"Same source/methodology as 2015. 2020 has no ACS 1-Year Estimate anywhere (confirmed COVID-era data-collection suspension, not a gap in this pull)."
seattle,average_commute_minutes,2022,25.78,high,"Same source/methodology as 2015."
seattle,average_commute_minutes,2023,25.54,high,"Same source/methodology as 2015."
seattle,active_transportation_mode_share,2015,14.71,high,"Census ACS 1-Year Estimates, Table B08301 (Means of Transportation to Work), Walked (10.72%) + Bicycle (3.99%) as a share of all workers 16+. Queried via DataUSA's Tesseract API, same caveat as average_commute_minutes. No combined 'active transportation' ACS category exists -- Walk+Bike is the standard decomposition."
seattle,active_transportation_mode_share,2016,14.68,high,"Same source/methodology as 2015 (Walked 11.15% + Bicycle 3.53%)."
seattle,active_transportation_mode_share,2017,13.17,high,"Same source/methodology as 2015 (Walked 10.37% + Bicycle 2.81%)."
seattle,active_transportation_mode_share,2018,15.94,high,"Same source/methodology as 2015 (Walked 12.15% + Bicycle 3.79%)."
seattle,active_transportation_mode_share,2019,14.41,high,"Same source/methodology as 2015 (Walked 10.71% + Bicycle 3.70%)."
seattle,active_transportation_mode_share,2021,8.89,high,"Same source/methodology as 2015 (Walked 6.82% + Bicycle 2.06%). 2020 has no ACS 1-Year Estimate (confirmed gap)."
seattle,active_transportation_mode_share,2022,9.71,high,"Same source/methodology as 2015 (Walked 7.24% + Bicycle 2.47%)."
seattle,active_transportation_mode_share,2024,14.21,high,"Same source/methodology as 2015 (Walked 10.70% + Bicycle 3.51%)."
