jurisdiction,metric,year,value,confidence,notes
washington-dc,average_commute_minutes,2015,29.83,high,"Census ACS 1-Year Estimates, Table B08006/B08013, queried via DataUSA's Tesseract API (a public pass-through of the same official ACS tables, used because api.census.gov requires a registered API key in this research environment). Cross-validated against 3 independently-sourced existing repo rows (Chicago, NYC, Seattle) within +/-0.1 minute. Washington city, DC (state 11, place 50000), the coterminous Census place -- same convention this repo already uses for DC's median_rent."
washington-dc,average_commute_minutes,2016,30.82,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2017,30.84,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2018,30.88,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2019,31.66,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2021,28.25,high,"Same source/methodology as 2015. 2020 has no ACS 1-Year Estimate anywhere (confirmed COVID-era data-collection suspension, not a gap in this pull)."
washington-dc,average_commute_minutes,2022,30.05,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2023,30.44,high,"Same source/methodology as 2015."
washington-dc,average_commute_minutes,2024,31.01,high,"CORRECTS a previously-imported value of 30 (quality 'alternative', notes said 'not independently confirmed'). Cross-checking against this same pull's 2023 figure (30.44) strongly suggests the old '30' value was actually 2023's figure mislabeled as 2024 -- this row's 31.01 is the correctly-attributed 2024 figure, same source/methodology as 2015."
washington-dc,active_transportation_mode_share,2015,18.12,high,"Census ACS 1-Year Estimates, Table B08301 (Means of Transportation to Work), Walked (14.01%) + Bicycle (4.11%) as a share of all workers 16+. Queried via DataUSA's Tesseract API, same caveat as average_commute_minutes. No combined 'active transportation' ACS category exists -- Walk+Bike is the standard decomposition."
washington-dc,active_transportation_mode_share,2016,18.27,high,"Same source/methodology as 2015 (Walked 13.67% + Bicycle 4.60%)."
washington-dc,active_transportation_mode_share,2017,17.65,high,"Same source/methodology as 2015 (Walked 12.69% + Bicycle 4.96%)."
washington-dc,active_transportation_mode_share,2018,17.58,high,"Same source/methodology as 2015 (Walked 13.31% + Bicycle 4.28%)."
washington-dc,active_transportation_mode_share,2019,17.45,high,"Same source/methodology as 2015 (Walked 13.43% + Bicycle 4.02%)."
washington-dc,active_transportation_mode_share,2021,8.86,high,"Same source/methodology as 2015 (Walked 6.74% + Bicycle 2.12%). 2020 has no ACS 1-Year Estimate (confirmed gap)."
washington-dc,active_transportation_mode_share,2022,12.69,high,"Same source/methodology as 2015 (Walked 9.67% + Bicycle 3.02%)."
washington-dc,active_transportation_mode_share,2024,14.70,high,"Same source/methodology as 2015 (Walked 10.67% + Bicycle 4.03%)."
