jurisdiction,metric,year,value,confidence,notes
minneapolis,unemployment_rate,2015,3.0,high,"MN DEED LAUS, Minneapolis city (place of residence), December value, not seasonally adjusted."
minneapolis,unemployment_rate,2016,3.1,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2017,2.5,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2018,2.5,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2019,2.5,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2020,5.0,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2021,2.3,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2022,2.1,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2023,2.3,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
minneapolis,unemployment_rate,2024,2.6,high,"MN DEED LAUS, Minneapolis city, December value, NSA."
