jurisdiction,metric,year,value,confidence,notes
washington-dc,employment,2015,763700,high,"BLS CES (series SMS11000000000000001), District of Columbia, total nonfarm employment, seasonally adjusted, annual average (763.7 thousand)."
washington-dc,employment,2016,777100,high,"BLS CES, District of Columbia, annual average (777.1 thousand)."
washington-dc,employment,2017,784400,high,"BLS CES, District of Columbia, annual average (784.4 thousand)."
washington-dc,employment,2018,792900,high,"BLS CES, District of Columbia, annual average (792.9 thousand)."
washington-dc,employment,2019,797300,high,"BLS CES, District of Columbia, annual average (797.3 thousand)."
washington-dc,employment,2020,743300,high,"BLS CES, District of Columbia, annual average (743.3 thousand)."
washington-dc,employment,2021,735900,high,"BLS CES, District of Columbia, annual average (735.9 thousand)."
washington-dc,employment,2022,759100,high,"BLS CES, District of Columbia, annual average (759.1 thousand)."
washington-dc,employment,2023,766800,high,"BLS CES, District of Columbia, annual average (766.8 thousand)."
washington-dc,employment,2024,768900,high,"BLS CES, District of Columbia, annual average (768.9 thousand)."
