jurisdiction,metric,year,value,confidence,notes
washington-dc,unemployment_rate,2015,6.9,high,"BLS LAUS (series LASST110000000000003), District of Columbia, annual average computed from official monthly NSA values."
washington-dc,unemployment_rate,2016,6.2,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2017,6.1,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2018,5.7,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2019,5.5,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2020,8.0,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2021,6.9,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2022,4.7,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2023,4.9,high,"BLS LAUS, District of Columbia, annual average, NSA."
washington-dc,unemployment_rate,2024,5.3,high,"BLS LAUS, District of Columbia, annual average, NSA."
